Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021,Area
Greenland,GRL,56114,56186,56171,56023,56225,56367,56653,2166086
Guatemala,GTM,15567419,15827690,16087418,16346950,16604026,16858333,17109746,108890
Guam,GUM,161851,162948,164281,165770,167295,168783,170184,541
Guyana,GUY,767433,771363,775218,779007,782775,786559,790329,214970
"Hong Kong SAR, China",HKG,7291300,7336600,7393200,7452600,7507900,7481000,7413100,1092
Honduras,HND,9112904,9270794,9429016,9587523,9746115,9904608,10062994,112090
Croatia,HRV,4203604,4174349,4124531,4087843,4065253,4047680,3899000,56542
Haiti,HTI,10695540,10839976,10982367,11123183,11263079,11402533,11541683,10714
Hungary,HUN,9843028,9814023,9787966,9775564,9771141,9750149,9709886,93030
Indonesia,IDN,258383257,261556386,264650969,267670549,270625567,273523621,276361788,1919440
Isle of Man,IMN,83232,83296,83610,84073,84589,85032,85410,572
India,IND,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385,1393409033,3287590
Ireland,IRL,4701957,4755335,4807388,4867316,4934340,4985674,5028230,103000
"Iran, Islamic Rep.",IRN,78492208,79563991,80673888,81800204,82913893,83992953,85028760,164000000
Iraq,IRQ,35572269,36610632,37552789,38433604,39309789,40222503,41179351,437072
Iceland,ISL,330815,335439,343400,352721,360563,366463,372295,70280
Israel,ISR,8380100,8546000,8713300,8882800,9054000,9215100,9364000,20770
Italy,ITA,60730582,60627498,60536709,60421760,59729081,59449527,59066225,301230
Jamaica,JAM,2891024,2906242,2920848,2934853,2948277,2961161,2973462,10991
Jordan,JOR,9266573,9554286,9785840,9965322,10101697,10203140,10269022,92300
Japan,JPN,127141000,127076000,126972000,126811000,126633000,126261000,125681593,377835
Kazakhstan,KAZ,17542806,17794055,18037776,18276452,18513673,18755666,19002586,2717300
Kenya,KEN,47878339,49051531,50221146,51392570,52573967,53771300,54985702,582650
Kyrgyz Republic,KGZ,5956900,6079500,6198200,6322800,6456200,6579900,6694200,77199
Cambodia,KHM,15521435,15766290,16009413,16249795,16486542,16718971,16946446,60898
Kiribati,KIR,110927,112529,114153,115842,117608,119446,121388,811
St. Kitts and Nevis,KNA,51204,51629,52036,52438,52834,53192,53546,104
South Korea,KOR,51014947,51217803,51361911,51585058,51764822,51836239,51744876,38691.3
Kuwait,KWT,3835588,3956862,4056102,4137314,4207077,4270563,4328553,6880
Laos,LAO,6741160,6845848,6953031,7061498,7169456,7275556,7379358,91429
Lebanon,LBN,6532681,6714281,6819373,6859408,6855709,6825442,6769151,10400
Liberia,LBR,4472229,4586788,4702224,4818976,4937374,5057677,5180208,111370
Libya,LBY,6418315,6492160,6580723,6678565,6777453,6871287,6958538,1759540
St. Lucia,LCA,179131,180028,180955,181890,182795,183629,184401,238
Latin America & Caribbean,LCN,622301041,628493594,634566052,640483827,646431661,652365260,658089208,7412000
Liechtenstein,LIE,37465,37655,37805,37918,38020,38137,38254,62
Sri Lanka,LKA,20970000,21203000,21444000,21670000,21803000,21919000,22156000,25332
Lesotho,LSO,2059011,2075041,2091532,2108327,2125267,2142252,2159067,11720
Lithuania,LTU,2904910,2868231,2828403,2801543,2794137,2794885,2795321,65200
Luxembourg,LUX,569604,582014,596336,607950,620001,630419,639070,2586
Latvia,LVA,1977527,1959537,1942248,1927174,1913822,1900449,1883162,24926
"Macao SAR, China",MAC,602093,612824,622578,631633,640446,649342,658391,28
St. Martin (French part),MAF,35865,36061,36569,37264,38002,38659,39239,34
Morocco,MAR,34663608,35126274,35581257,36029089,36471766,36910558,37344787,446550
Monaco,MCO,37723,38070,38392,38682,38967,39244,39520,2
Moldova,MDA,2834530,2802170,2755158,2708214,2664974,2620495,2573928,33843
Madagascar,MDG,24234080,24894370,25570511,26262313,26969306,27691019,28427333,587040
Maldives,MDV,454914,475505,496398,515704,530957,540542,543620,115
Mexico,MEX,121858251,123333379,124777326,126190782,127575529,128932753,130262220,1972550
Marshall Islands,MHL,57444,57723,58053,58412,58791,59194,59618,70
North Macedonia,MKD,2070226,2072490,2074502,2076217,2076694,2072531,2065092,9927.8
Mali,MLI,17438772,17965448,18512429,19077755,19658023,20250834,20855724,478800
Malta,MLT,445053,455356,467999,484630,504062,515332,516869,316
Myanmar,MMR,52680724,53045199,53382521,53708318,54045422,54409794,54806014,261228
Montenegro,MNE,622159,622303,622373,622227,622028,621306,620173,5332
Mongolia,MNG,2998433,3056358,3113788,3170214,3225166,3278292,3329282,1564116
Northern Mariana Islands,MNP,55779,56187,56553,56889,57213,57557,57910,477
Mozambique,MOZ,27042001,27829930,28649007,29496009,30366043,31255435,32163045,801590
Mauritania,MRT,4046304,4163532,4282582,4403312,4525698,4649660,4775110,398000
Mauritius,MUS,1262605,1263473,1264613,1265303,1265711,1265740,1266060,2040
Malawi,MWI,16745305,17205253,17670193,18143215,18628749,19129955,19647681,118480
Malaysia,MYS,30270965,30684652,31104655,31528033,31949789,32365998,32776195,329750
North America,NAC,356507139,359245796,361731237,363967201,365995094,369602177,370203720,9540000
Namibia,NAM,2314901,2358044,2402623,2448300,2494524,2540916,2587344,318260
New Caledonia,NCL,268700,269350,270000,270650,271300,271960,272620,19060
Niger,NER,20001663,20788789,21602388,22442831,23310719,24206636,25130810,1267000
Nigeria,NGA,181137454,185960244,190873247,195874685,200963603,206139587,211400704,923768
Nicaragua,NIC,6223234,6303970,6384843,6465502,6545503,6624554,6702379,129494
Netherlands,NLD,16939923,17030314,17131296,17231624,17344874,17441500,17533405,41526
Norway,NOR,5188607,5234519,5276968,5311916,5347896,5379475,5408320,323802
Nepal,NPL,27015033,27263430,27632682,28095712,28608715,29136808,29674920,56956
Nauru,NRU,10374,10474,10577,10678,10764,10834,10873,8.1
New Zealand,NZL,4609400,4714100,4813600,4900600,4979200,5090200,5122600,268680
Oman,OMN,4267341,4479217,4665926,4829476,4974992,5106622,5223376,212460
Pakistan,PAK,199426953,203631356,207906210,212228288,216565317,220892331,225199929,803940
Panama,PAN,3968490,4037073,4106764,4176868,4246440,4314768,4381583,78200
Peru,PER,30470739,30926036,31444299,31989265,32510462,32971846,33359416,1285220
Philippines,PHL,102113206,103663812,105172921,106651394,108116622,109581085,111046910,115831
Palau,PLW,17665,17718,17809,17911,18001,18092,18174,458
Papua New Guinea,PNG,8107772,8271766,8438038,8606324,8776119,8947027,9119005,462840
Poland,POL,37986412,37970087,37974826,37974750,37965475,37899070,37781024,312685
Puerto Rico,PRI,3473232,3406672,3325286,3193354,3193694,3281538,3263584,13790
"Korea, Dem. People's Rep.",PRK,25183832,25307665,25429816,25549606,25666158,25778815,25887045,46490
Portugal,PRT,10358076,10325452,10300300,10283822,10286263,10297081,10299423,92391
Paraguay,PRY,6688746,6777878,6867058,6956069,7044639,7132530,7219641,157048
West Bank and Gaza,PSE,4270092,4367088,4454805,4569087,4685306,4803269,4922749,2173
Pacific island small states,PSS,2353578,2385744,2419767,2455336,2491878,2528958,2566494,6400
French Polynesia,PYF,273119,274576,276108,277673,279285,280904,282534,1359
Qatar,QAT,2565708,2654379,2724727,2781682,2832071,2881060,2930524,11437
Romania,ROU,19815616,19702267,19588715,19473970,19371648,19257520,19115146,237500
Russian Federation,RUS,144096870,144342397,144496739,144477859,144406261,144073139,143446060,6612074
Rwanda,RWA,11369066,11668829,11980960,12301969,12626938,12952209,13276517,10169
Saudi Arabia,SAU,31717676,32443443,33101183,33702757,34268529,34813867,35340680,1960582
Sudan,SDN,38902948,39847433,40813398,41801532,42813237,43849269,44909351,728215
Senegal,SEN,14578450,14993514,15419354,15854324,16296362,16743930,17196308,76000
Singapore,SGP,5535002,5607283,5612253,5638676,5703569,5685807,5453566,693
Solomon Islands,SLB,603133,619438,636030,652856,669821,686878,703995,28450
Sierra Leone,SLE,7171909,7328846,7488427,7650149,7813207,7976985,8141343,71740
El Salvador,SLV,6325121,6356137,6388124,6420740,6453550,6486201,6518500,8124
San Marino,SMR,33270,33503,33671,33784,33864,33938,34010,61
Somalia,SOM,13797204,14185635,14589165,15008225,15442906,15893219,16359500,637657
Serbia,SRB,7095383,7058322,7020858,6982604,6945235,6899126,6844078,88361
S. Sudan,SSD,10715657,10832520,10910774,10975924,11062114,11193729,11381377,248777
Sub-Saharan Africa,SSF,995458498,1022530245,1050162810,1078319512,1106957870,1136046775,1165563987,9400000
Sao Tome and Principe,STP,199439,203221,207086,211032,215048,219161,223364,386
Suriname,SUR,559136,564883,570501,575987,581363,586634,591798,63251
Slovak Republic,SVK,5423801,5430798,5439232,5446771,5454147,5458827,5447247,18932
Slovenia,SVN,2063531,2065042,2066388,2073894,2088385,2102419,2107007,20273
Sweden,SWE,9799186,9923085,10057698,10175214,10278887,10353442,10415811,173860
Eswatini,SWZ,1104038,1113994,1124808,1136274,1148133,1160164,1172369,6704
Sint Maarten (Dutch part),SXM,38825,39969,40574,40895,41608,42310,42846,13
Seychelles,SYC,93419,94677,95843,96762,97625,98462,99202,455
Syrian Arab Republic,SYR,17997411,17465567,17095669,16945062,17070132,17500657,18275704,71498
Turks and Caicos Islands,TCA,35979,36558,37116,37667,38194,38718,39226,430
Chad,TCD,14110971,14561658,15016761,15477727,15946882,16425859,16914985,95800
Togo,TGO,7323162,7509952,7698476,7889095,8082359,8278737,8478242,56785
Thailand,THA,68714519,68971313,69209817,69428454,69625581,69799978,69950844,514000
Tajikistan,TJK,8454019,8663575,8880270,9100847,9321023,9537642,9749625,143100
Turkmenistan,TKM,5565283,5662371,5757667,5850902,5942094,6031187,6117933,188500
Timor-Leste,TLS,1196294,1219289,1243260,1267975,1293120,1318442,1343875,5743
Tonga,TON,100780,101143,102002,103199,104497,105697,106759,748
Trinidad and Tobago,TTO,1370332,1377563,1384060,1389841,1394969,1399491,1403374,5128
Tunisia,TUN,11179951,11303942,11433438,11565203,11694721,11818618,11935764,163610
Turkiye,TUR,78529413,79827868,81116451,82340090,83429607,84339067,85042736,302535
Tuvalu,TUV,11099,11232,11365,11505,11655,11792,11925,26
Tanzania,TZA,51482638,53049231,54660345,56313444,58005461,59734213,61498438,364900
Uganda,UGA,38225447,39649173,41166588,42729032,44269587,45741000,47123533,93065.3
Ukraine,UKR,45154036,45004673,44831135,44622518,44386203,44132049,43814581,603700
Uruguay,URY,3412013,3424139,3436645,3449290,3461731,3473727,3485152,176220
United States of America,USA,320738994,323071755,325122128,326838199,328329953,331501080,331893745,3500000
Uzbekistan,UZB,31298900,31847900,32388600,32956100,33580350,34232050,34915100,447400
St. Vincent and the Grenadines,VCT,109135,109467,109826,110210,110593,110947,111269,151
"Venezuela, RB",VEN,30081827,29851249,29402480,28887117,28515829,28435943,28704947,353841
British Virgin Islands,VGB,29148,29355,29567,29795,30033,30237,30423,1330
Virgin Islands (U.S.),VIR,107712,107516,107281,107001,106669,106290,105870,1910
Vietnam,VNM,92677082,93640435,94600643,95545959,96462108,97338583,98168829,329560
Vanuatu,VUT,271128,278326,285499,292675,299882,307150,314464,12200
Samoa,WSM,193510,194540,195358,196128,197093,198410,200144,1097
Kosovo,XKX,1788196,1777557,1791003,1797085,1788878,1790133,1806279,4203.5
"Yemen, Rep.",YEM,26497881,27168210,27834811,28498683,29161922,29825968,30490639,203796
South Africa,ZAF,55386369,56207649,57009751,57792520,58558267,59308690,60041996,471011
Zambia,ZMB,15879370,16363449,16853608,17351714,17861034,18383956,18920657,752614
Zimbabwe,ZWE,13814642,14030338,14236599,14438812,14645473,14862927,15092171,390580
